"rules","support","confidence","coverage","lift","count"
"1","{ChildBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"2","{YouthBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"3","{ChildBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"4","{CookBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"5","{ChildBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"6","{DoItYBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"7","{ChildBks=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"8","{RefBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"9","{ChildBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"10","{ArtBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"11","{ChildBks=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"12","{GeogBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"13","{ChildBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"14","{ItalCook=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"15","{ChildBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"16","{ItalAtlas=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"17","{ChildBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"18","{ItalArt=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"19","{ChildBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"20","{Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"21","{YouthBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"22","{CookBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"23","{YouthBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"24","{DoItYBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"25","{YouthBks=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"26","{RefBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"27","{YouthBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
