"rules","support","confidence","coverage","lift","count"
"1","{X.HEART.='SPOTTY'} => {X.HANGING.='BUNTING'}",0.00210397817032888,1,0.00210397817032888,84.3488794669897,1172
"2","{X.HEART.='POPCORN'} => {X.HANGING.='HOLDER'}",0.00264971994829815,1,0.00264971994829815,176.278481012658,1476
"3","{X.HOLDER.='POPPY''S'} => {X.HEART.='PLAYHOUSE'}",0.00261202068074106,1,0.00261202068074106,382.845360824742,1455
"4","{X.HEART.='PLAYHOUSE'} => {X.HOLDER.='POPPY''S'}",0.00261202068074106,1,0.00261202068074106,382.845360824742,1455
"5","{X.HEART.='MAKING'} => {X.HOLDER.='PRINTED'}",0.00212193020249892,1,0.00212193020249892,470.075949367089,1182
"6","{X.HOLDER.='PRINTED'} => {X.HEART.='MAKING'}",0.00212193020249892,0.99746835443038,0.00212731581214994,470.075949367089,1182
"7","{X.HEART.='MAKING'} => {X.HANGING.='JAM'}",0.00212193020249892,1,0.00212193020249892,195.31556802244,1182
"8","{X.HEART.='MAKING'} => {X.T.LIGHT.='SET'}",0.00212193020249892,1,0.00212193020249892,51.1233480176211,1182
"9","{X.HOLDER.='PRINTED'} => {X.HANGING.='JAM'}",0.00212193020249892,0.99746835443038,0.00212731581214994,194.821098229979,1182
"10","{X.HOLDER.='PRINTED'} => {X.T.LIGHT.='SET'}",0.00212193020249892,0.99746835443038,0.00212731581214994,50.9939218201082,1182
"11","{X.HOLDER.='CARS'} => {X.T.LIGHT.='LUNCH'}",0.00214885825075399,1,0.00214885825075399,114.829931972789,1197
"12","{X.HOLDER.='CARS'} => {X.HEART.='BLUE'}",0.00214885825075399,1,0.00214885825075399,81.6654449494209,1197
"13","{X.HOLDER.='CARS'} => {X.HANGING.='BAG'}",0.00214885825075399,1,0.00214885825075399,13.3279100370858,1197
"14","{X.T.LIGHT.='WALLET'} => {X.HOLDER.='TRAVEL'}",0.00219373833117909,1,0.00219373833117909,212.286585365854,1222
"15","{X.T.LIGHT.='WALLET'} => {X.HANGING.='CARD'}",0.00219373833117909,1,0.00219373833117909,80.988659494039,1222
"16","{X.HEART.='DINER'} => {X.HANGING.='CLOCK'}",0.002156039063622,0.918195718654434,0.00234812580784145,275.577447801329,1201
"17","{X.HEART.='DINER'} => {X.T.LIGHT.='WALL'}",0.002154243860405,0.917431192660551,0.00234812580784145,137.8225112081,1200
"18","{X.T.LIGHT.='SKULL.'} => {X.HEART.='BLACK'}",0.00242352434295562,1,0.00242352434295562,197.953091684435,1350
"19","{X.T.LIGHT.='SKULL.'} => {X.HOLDER.='LUNCH'}",0.00242352434295562,1,0.00242352434295562,78.5448392554992,1350
"20","{X.T.LIGHT.='SKULL.'} => {X.HANGING.='BAG'}",0.00242352434295562,1,0.00242352434295562,13.3279100370858,1350
"21","{X.HANGING.='FINISH'} => {X.HOLDER.='PICTURE'}",0.0020267844319977,1,0.0020267844319977,454.355628058728,1129
"22","{X.HOLDER.='PICTURE'} => {X.HANGING.='FINISH'}",0.0020267844319977,0.920880913539967,0.00220091914404711,454.355628058728,1129
"23","{X.HANGING.='FINISH'} => {X.WHITE.='WOODEN'}",0.0020267844319977,1,0.0020267844319977,260.786516853933,1129
"24","{X.HANGING.='FINISH'} => {X.HEART.='FRAME'}",0.0020267844319977,1,0.0020267844319977,135.962899682695,1129
"25","{X.HANGING.='FINISH'} => {X.T.LIGHT.='WHITE'}",0.0020267844319977,1,0.0020267844319977,76.0464163822526,1129
"26","{X.HANGING.='DOLL'} => {X.HEART.='FELTCRAFT'}",0.00256175499066494,0.836950146627566,0.0030608214849921,88.6845557689594,1427
"27","{X.HEART.='BUILDING'} => {X.T.LIGHT.='WORD'}",0.00262458710326009,1,0.00262458710326009,318.855180309101,1462
"28","{X.T.LIGHT.='WORD'} => {X.HEART.='BUILDING'}",0.00262458710326009,0.836863194046938,0.00313622002010628,318.855180309101,1462
"29","{X.HEART.='BUILDING'} => {X.HANGING.='BLOCK'}",0.00262458710326009,1,0.00262458710326009,279.078156312625,1462
"30","{X.HOLDER.='STORAGE'} => {X.T.LIGHT.='SUKI'}",0.00217937670544306,0.838977194194886,0.00259765905500503,121.545866386039,1214
"31","{X.HOLDER.='STORAGE'} => {X.HEART.='JUMBO'}",0.00217937670544306,0.838977194194886,0.00259765905500503,41.5158440307648,1214
"32","{X.HOLDER.='STORAGE'} => {X.HANGING.='BAG'}",0.00217937670544306,0.838977194194886,0.00259765905500503,11.1818125673961,1214
"33","{X.T.LIGHT.='ORNAMENT'} => {X.HOLDER.='COLOUR'}",0.00269460002872325,1,0.00269460002872325,213.588957055215,1501
