,Award?,clust,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
0,0,2.0,28143,0,1,1,1,174,1,0,0,7000
1,0,4.0,19244,0,1,1,1,215,2,0,0,6968
2,0,4.0,41354,0,1,1,1,4123,4,0,0,7034
3,0,4.0,14776,0,1,1,1,500,1,0,0,6952
4,1,4.0,97752,0,4,1,1,43300,26,2077,4,6935
5,0,4.0,16420,0,1,1,1,0,0,0,0,6942
6,0,4.0,84914,0,3,1,1,27482,25,0,0,6994
7,1,4.0,20856,0,1,1,1,5250,4,250,1,6938
8,1,4.0,443003,0,3,2,1,1753,43,3850,12,6948
9,1,5.0,104860,0,3,1,1,28426,28,1150,3,6931
10,0,5.0,40091,0,2,1,1,7278,10,0,0,6959
11,1,5.0,96522,0,5,1,1,61105,19,0,0,6924
12,0,5.0,43382,0,2,1,1,11150,20,0,0,6924
13,0,2.0,43097,0,1,1,1,3258,6,0,0,6918
14,0,4.0,17648,0,1,1,1,0,0,0,0,6912
15,1,4.0,28495,0,4,1,1,49442,15,0,0,6912
16,1,4.0,51890,0,4,1,1,48963,16,0,0,6910
17,1,4.0,13958,0,1,1,1,4291,5,0,0,6905
18,1,4.0,91473,0,3,1,1,27408,17,0,0,6903
19,1,4.0,23354,0,3,1,1,10447,5,0,0,6896
20,1,4.0,120576,0,5,1,1,58831,23,250,2,6896
21,1,4.0,185681,2024,1,1,1,13300,16,1800,9,6896
22,0,4.0,20584,0,1,1,1,3450,11,3450,11,6884
23,0,4.0,66275,0,1,1,1,2533,11,150,1,6884
24,0,4.0,205651,500,1,1,1,4025,21,700,4,7932
25,0,4.0,20726,0,1,1,1,1375,4,0,0,7924
26,0,4.0,18521,0,1,1,1,1227,2,1227,2,7917
27,0,4.0,8828,0,1,1,1,0,0,0,0,7914
28,1,4.0,59763,0,3,1,1,33772,20,100,1,7907
29,1,4.0,19221,0,1,1,1,4655,8,500,1,7896
30,0,4.0,177926,0,3,1,1,20797,13,0,0,7886
31,0,2.0,10021,0,1,1,1,0,0,0,0,7879
32,0,5.0,276571,0,4,1,1,42044,23,0,0,7872
33,0,5.0,18047,0,1,1,1,100,1,0,0,7868
34,0,5.0,43832,0,1,1,1,0,0,0,0,7865
35,1,5.0,123759,0,4,1,1,50572,23,2500,5,7865
36,1,2.0,23193,0,1,1,1,650,4,550,3,7861
37,0,0.0,68666,0,1,1,1,350,2,350,2,7861
38,1,0.0,59990,0,3,1,1,27878,17,0,0,7854
39,1,4.0,2176,0,1,1,1,0,0,0,0,7847
40,0,0.0,34616,0,1,1,1,1750,4,500,1,7850
41,1,0.0,10470,0,4,1,1,38094,26,0,0,7840
42,1,0.0,60313,0,1,1,1,10000,26,3250,9,7829
